Artist,Title,Skip,Favourite,Tags
David Bowie,Ziggy Stardust,,,
David Bowie,Let's Dance,,,
David Bowie,The Man Who Sold the World,,,
Depeche Mode,Enjoy the Silence,,,
Depeche Mode,Personal Jesus,,,
Weezer,Buddy Holly,,,
Kate Bush,Top Of The City,,,
Kate Bush,Moving,,,Dicky Karaoke
Kate Bush,You're The One,,,
Kate Bush,Running Up That Hill (A Deal With God),,,
Kate Bush,This Woman's Work,,,
Kate Bush,Wuthering Heights,,,Dicky Karaoke
Kate Bush,Hounds of Love,,,
Kate Bush,Cloudbusting,,,
Kate Bush,Babooshka,,,
Kate Bush,The Man with the Child in His Eyes,,,
Kate Bush,Army Dreamers,,,
Kate Bush,The Sensual World,,,
Kate Bush,Sat in Your Lap,,,
Kate Bush,Wow,,,
Kate Bush,The Big Sky,,,
Kate Bush,Suspended in Gaffa,,,
Kate Bush,Hammer Horror,,,
Kate Bush,Breathing,,,
Suede,The Power,,,
The Smiths,That Joke Isn't Funny Anymore,,,
The Smiths,Please Please Please Let Me Get What I Want,,,
The Smiths,There Is A Light That Never Goes Out,,,
The Smiths,This Charming Man,,,
Zero 7,Destiny,,,
Zero 7,In the Waiting Line,,,
Zero 7,Home,,,
Zero 7,Somersault,,,
Waterboys,The Whole of the Moon,,,
Killing Joke,Love Like Blood,,,
The Cure,Just Like Heaven,,,
The Cure,Friday I'm in Love,,,
Pixies,Gigantic,,,
Pixies,The Holiday Song,,,
Pixies,Dig for Fire,,,
Pixies,Gouge Away,,,
Pixies,Here Comes Your Man,,,
Pixies,Monkey Gone to Heaven,,,
Arcade Fire,We Used to Wait,,,
Suede,Animal Nitrate,,,
Suede,Metal Mickey,,,
Honeyblood,Sister Wolf,,,
The Smiths,What Difference Does it Make?,,,
Everything Everything,My CZ UR BF,,,
The Monkees,Me & Magdelana,,,
Echobelly,Today Tomorrow Sometimes Never,,,
Alison Moyet,Love Resurrection,,,Dicky Karaoke
Big Moon,Silent Movie Suzie,,,
The Darkness,Givin' Up,,,
Here We Go Magic,Alone but Moving,,,
Beyonce,Bodyguard,,,
Super Furry Animals,Ohio Heat,,,
Pongo,Kuzola,,,
Shelley Duvall,He Needs Me,,,
The Shins,Australia,,,
John Farnham,You're the Voice,,,Jessica Protest Karaoke
Cat Power,Ruin,,,Jessica Protest Karaoke
Labi Siffre,(Something Inside) So Strong,,,Jessica Protest Karaoke
Tori Amos,Crucify,,,Jessica Protest Karaoke
"Aretha Franklin,George Michael",I Knew You Were Waiting (For Me),,,Jessica Protest Karaoke
Roachford,Cuddly Toy,,,Jessica Protest Karaoke
Faith No More,Midlife Crisis,,,Jessica Protest Karaoke
Scorpions,Wind Of Change,,,Jessica Protest Karaoke
The Shamen,Move Any Mountian,,,Jessica Protest Karaoke
Ultravox,Dancing with Tears in My Eyes,,,Jessica Protest Karaoke
Alanis Morissette,You Oughta Know,,,Jessica Protest Karaoke; Dicky Karaoke
Iron Maiden,Run to the Hills,,,Jessica Protest Karaoke
George Michael,Freedom! '90,,,Jessica Protest Karaoke
T'Pau,China In Your Hand,,,Jessica Protest Karaoke; Dicky Karaoke
Alannah Myles,Black Velvet,,,Jessica Protest Karaoke
Robin Beck,First Time,,,Jessica Protest Karaoke
T'Pau,Heart And Soul,,,Jessica Protest Karaoke
Dire Straits,Money For Nothing,,,Jessica Protest Karaoke
